ticker,n_predictions,n_folds,mean_y_up_true,mean_y_up_pred,up_xgb_rmse,up_xgb_mae,up_naive_rmse,up_naive_mae,up_improve_pct,mean_y_dn_true,mean_y_dn_pred,dn_xgb_rmse,dn_xgb_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct
GE,1662,28,0.027581934961255068,0.022382600232958794,0.039701649642938174,0.027885684116297563,0.04644792997307613,0.03368463599473458,14.524393948338465,-0.018557817853513733,-0.02724550850689411,0.04047470063429761,0.029150722812326755,0.04097544586687572,0.02785694780305112,1.2220617054539806,7.873227826896223
BAC,1662,28,0.021946439902060497,0.022046605125069618,0.033143185523873096,0.024001900768638465,0.03904507870355128,0.027665140990172844,15.115587868289747,-0.017468026291894565,-0.0227253008633852,0.03644144440309937,0.025923396245008692,0.03664039398509477,0.024992346142630188,0.5429788284381787,7.829283348363963
MPC,1662,28,0.02979787003106278,0.0250032190233469,0.04588881641819142,0.030368334298460618,0.05396180929667127,0.03670199840085618,14.96056745261477,-0.02175645568749136,-0.03044767491519451,0.048972217115827964,0.033756267788957336,0.04928971861515205,0.031912815332911994,0.6441536049396013,7.802360528777186
ETSY,1662,28,0.04083622127258087,0.03987137973308563,0.0675220643873334,0.05015398221079552,0.07539565839102379,0.05295411845963895,10.443033686178115,-0.03502959355125006,-0.037948280572891235,0.06375411734128902,0.047716784701730915,0.06716810398872536,0.048454484196714116,5.082749764693961,7.762891725436038
NOW,1662,28,0.028411472434399194,0.026050273329019547,0.040755413211159136,0.03012192633779813,0.04848136095610276,0.0352731189272782,15.935913498672305,-0.023080056483852075,-0.02651805244386196,0.045183334093815974,0.03335965212368644,0.04495474911687743,0.032409637545173106,-0.5084779282034324,7.7137177852344365
LLY,1662,28,0.02404976172183544,0.02231522649526596,0.03601968915607175,0.02580322546171461,0.042119109429218204,0.029324160774293544,14.481360968461644,-0.015470625515031788,-0.020798003301024437,0.03369942310721841,0.02518324826523634,0.03402025383582046,0.02367800849983246,0.9430580093563123,7.712209488908978
REGN,1662,28,0.021201124066837707,0.02226909250020981,0.0342252794519601,0.025611439917459677,0.03856407964307976,0.02717065387482068,11.250884842258246,-0.017950271072396523,-0.023083217442035675,0.03421469926906938,0.025762946670851272,0.03570343042404606,0.025017945144415868,4.169714610879605,7.710299726568925
COP,1662,28,0.02651334534801676,0.024282120168209076,0.04184031328365206,0.029070540011756994,0.04829734770977367,0.0336890765221722,13.369335444511243,-0.021602164490027286,-0.028604131191968918,0.043684280198587444,0.030814465195291074,0.04451154637895891,0.03019259730878102,1.8585428898118983,7.613939167161571
CCL,1662,28,0.0403712740826446,0.03740198537707329,0.075837302722681,0.05057937800148602,0.08384985930652503,0.05333917675584941,9.555837839337332,-0.03679806979984858,-0.03955623507499695,0.07141731521226206,0.04969597510849348,0.07565104957238879,0.05028159873937223,5.596398707033878,7.576118273185605
ISRG,1662,28,0.02351223366618874,0.02138175442814827,0.03719578861234752,0.025364747293298004,0.043237030577089205,0.029395893223340193,13.972379425942517,-0.017874697762665252,-0.02266121096909046,0.03742862710142323,0.0271684619030671,0.03784043353591528,0.025900722881199056,1.0882709208423602,7.530325173392439
WFC,1662,28,0.023361922776401818,0.022275518625974655,0.03628071732902829,0.02622041979216477,0.041566528861122276,0.029612682513538907,12.716509357214756,-0.0189403315065447,-0.023863203823566437,0.03881635211742799,0.027976822287381797,0.03962673774773877,0.02680385880148124,2.0450475521594624,7.380778454687109
ADI,1662,28,0.02364002604825815,0.022963853552937508,0.03450005129868606,0.025168018817663212,0.04052134660487181,0.028964522263273645,14.859563688492583,-0.018275381642869445,-0.02367853932082653,0.035423332051566045,0.025965604916327108,0.03537562026275507,0.02568988103734994,-0.13487194982473305,7.362345869333925
C,1662,28,0.023413316440449437,0.020156437531113625,0.036904539312471916,0.025781519034550306,0.042568420925390364,0.029582467391945685,13.305359911859371,-0.019070462819124886,-0.02371559478342533,0.040418946778456685,0.02799372112294027,0.04094066659630693,0.0269759041878111,1.2743315173507797,7.289845714605075
INTC,1662,28,0.029195932537146845,0.029196089133620262,0.05151730569102164,0.035350676665036225,0.057264160774076235,0.03771700160853566,10.035692491378,-0.025564899028069927,-0.030570460483431816,0.048970496509824116,0.03483577259449034,0.05110366890236955,0.03476375843312424,4.174205958912136,7.104949225145068
TMO,1662,28,0.019184278631647348,0.01897495798766613,0.0289934301513778,0.021288162051270678,0.03333458862509188,0.024153253192477218,13.022984991770281,-0.016035100866627915,-0.019185954704880714,0.030835086547805472,0.023009161542659234,0.03108436461259199,0.022464699154485852,0.8019403577756878,6.912462674772985
TTD,1662,28,0.04431795740958337,0.044801775366067886,0.076274671042986,0.05083263903693314,0.08525235552584505,0.05611284066480794,10.53071721887775,-0.035384572411873844,-0.038769856095314026,0.0723939659896623,0.051088430591180976,0.07456754359102181,0.05016035166337519,2.9149110949407975,6.7228141569092745
