fold_id,train_start,train_end,test_start,test_end,n_train,n_test,up_mdn_rmse,up_mdn_mae,up_mdn_nll,up_naive_rmse,up_naive_mae,dn_mdn_rmse,dn_mdn_mae,dn_mdn_nll,dn_naive_rmse,dn_naive_mae
20,2022-12-01,2023-11-30,2023-12-06,2024-02-29,25100,5800,0.02957348575976083,0.02019042894244194,1.5323926210403442,0.03720305620292372,0.025870708713880895,0.02673543852594678,0.018560105934739113,1.44452965259552,0.02901146059633604,0.018910458420931295
21,2023-03-01,2024-02-29,2024-03-06,2024-05-31,25200,6100,0.028002553287094955,0.02013968862593174,1.5393229722976685,0.03358841996803062,0.023316568480062354,0.028160603698753253,0.019275037571787834,1.5547277927398682,0.031941682174823155,0.02149086516442769
22,2023-06-01,2024-05-31,2024-06-06,2024-08-31,25200,6000,0.033264685110447056,0.02230141870677471,1.689273715019226,0.04005035067390816,0.027669498222657542,0.03403156918307268,0.022751251235604286,1.7317038774490356,0.03819482047032909,0.024673867046796884
23,2023-09-01,2024-08-31,2024-09-06,2024-11-30,25100,6000,0.032640832479656594,0.023833999410271645,1.6591699123382568,0.04062657041350946,0.02784899912528969,0.0270106222798336,0.019412033259868622,1.5628260374069214,0.02929980766294581,0.020343432407070722
24,2023-12-01,2024-11-30,2024-12-06,2025-02-28,25100,5600,0.03483579036596452,0.023869220167398453,1.719638466835022,0.03992705857355989,0.026456326782635122,0.03460287309133928,0.023652251809835434,1.8132286071777344,0.0400217764762145,0.02737751785808119
25,2024-03-01,2025-02-28,2025-03-06,2025-05-31,25000,6000,0.04066828126625134,0.027763284742832184,1.865664005279541,0.05082950010925012,0.0348005739415806,0.04659785355855456,0.031146416440606117,2.081054925918579,0.0515524943198012,0.0337205735949974
26,2024-06-01,2025-05-31,2025-06-06,2025-08-31,24900,5900,0.030901647387757022,0.02154066599905491,1.4788825511932373,0.03691970880883594,0.02592549389053355,0.032576140613747896,0.02158735692501068,1.4692984819412231,0.03547247745594295,0.022699651790596857
27,2024-09-01,2025-08-31,2025-09-06,2025-11-30,24900,5900,0.035863653532355634,0.023824727162718773,1.5569908618927002,0.0425296040224099,0.027720343280873187,0.03115162788812273,0.02187292091548443,1.5352903604507446,0.03521503199049769,0.024507309925559686
28,2024-12-01,2025-11-30,2025-12-06,2026-02-28,24900,5600,0.03654303018828813,0.025723062455654144,1.6352744102478027,0.04361687308625465,0.030364838399956885,0.03607234696198295,0.02503402903676033,1.633947730064392,0.0412143979035217,0.028231664635880276
29,2025-03-01,2026-02-28,2026-03-06,2026-05-31,25000,600,0.031861537238965135,0.02570992335677147,1.5302995443344116,0.029091731780489648,0.020039268650659022,0.031053910418150775,0.023486267775297165,1.6342488527297974,0.04047573499460138,0.03231279088155134
