ticker,n_predictions,n_folds,up_mdn_rmse,up_mdn_mae,up_naive_rmse,up_naive_mae,up_improve_pct,dn_mdn_rmse,dn_mdn_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct,mean_up_std,mean_dn_std
MU,1547,27,0.05371161373753098,0.03896930441260338,0.06502863056468924,0.04768679636412827,17.40312955829557,0.04816809400684954,0.03422541916370392,0.052596260462397,0.037420808509218216,8.419165957080388,12.91114775768798,60092.39453125,10722.9794921875
AMZN,1547,27,0.03392149442174147,0.025187721475958824,0.03931504739368861,0.02854164285621236,13.718800636147732,0.03166248550942278,0.023081813007593155,0.035950792903681535,0.025420929118916587,11.928269303400018,12.823534969773874,38943.73828125,9037.775390625
BLK,1547,27,0.029597089292677656,0.020280344411730766,0.0354396961866592,0.024252483694674157,16.48605242891703,0.02901549818087489,0.020270435139536858,0.03193510112203564,0.0217859056339938,9.142300598967534,12.814176513942282,43492.08984375,10217.212890625
OXY,1547,27,0.05354834134309537,0.03366295248270035,0.06420898790382168,0.03979617921743232,16.6030440733544,0.04911235339099039,0.031812720000743866,0.05395149175914202,0.036440536666666544,8.96942458932406,12.78623433133923,55120.8125,10017.9755859375
AXP,1547,27,0.0342787023693481,0.022603780031204224,0.04254483779469639,0.028367593946385442,19.429232437639556,0.036735055351893524,0.023858992382884026,0.03894204944100476,0.025212839541690634,5.667380430130475,12.548306433885015,47639.57421875,10278.0673828125
AMD,1547,27,0.05874527571077085,0.04182182252407074,0.06904284341631457,0.049274626789935154,14.914750314455393,0.04910340910347284,0.03600946441292763,0.054612011526387526,0.04024935549600068,10.086796418866617,12.500773366661004,60425.50390625,10476.205078125
PANW,1547,27,0.04137496694308874,0.028596187010407448,0.049333773739884755,0.03448405323357379,16.132572461939155,0.04136446641738403,0.028358081355690956,0.04533832800894833,0.029912197758803473,8.764905469782624,12.44873896586089,45664.62109375,10506.669921875
TXN,1547,27,0.03057830014706178,0.02199896238744259,0.03597656240397732,0.026187722191017157,15.004941818228712,0.029818832401954543,0.0212112944573164,0.033039596472824145,0.0236680493883372,9.748194332575332,12.376568075402023,57283.7890625,11026.9423828125
SPGI,1547,27,0.0270721074760815,0.018756486475467682,0.03191589186645976,0.022327429173478193,15.176716385195455,0.027628215081366092,0.01875234954059124,0.03055410624830114,0.019721207767973793,9.576098031333292,12.376407208264373,44194.92578125,10102.1103515625
CCL,1547,27,0.07011035498054688,0.044653307646512985,0.08353190708750198,0.052173386292704266,16.067575343270512,0.0673888832619443,0.04242676869034767,0.07330334112852264,0.04835957275590784,8.068469698002634,12.068022520636573,53977.390625,9837.8857421875
META,1547,27,0.042084650329973224,0.02834964729845524,0.04933968501591283,0.034019640315781204,14.704258212430299,0.039709092240104736,0.026614470407366753,0.04381804135537768,0.02876631618994459,9.377299824855513,12.040779018642905,43010.90625,10227.0078125
