ticker,n_predictions,n_folds,up_cvae_rmse,up_cvae_mae,up_naive_rmse,up_naive_mae,up_improve_pct,dn_cvae_rmse,dn_cvae_mae,dn_naive_rmse,dn_naive_mae,dn_improve_pct,avg_improve_pct,mean_up_std,mean_dn_std
AMD,1668,29,0.05778742146402089,0.04206172004342079,0.06929748335517069,0.049829142119668775,16.609639100683115,0.04930863224736098,0.036706406623125076,0.05599753866945045,0.04147966767707895,11.945000764361492,14.277319932522303,0.02796603925526142,0.027568304911255836
ADBE,1668,29,0.03338417137533015,0.024893207475543022,0.039638965965253396,0.029069008257428534,15.779409067850182,0.03657398054331975,0.025816598907113075,0.04191886197945639,0.028799091929566603,12.750540410080946,14.264974738965563,0.020974311977624893,0.020134763792157173
COST,1668,29,0.022284272974197585,0.01693671941757202,0.027838918781212234,0.020839223644381982,19.952807257598437,0.02229159465680494,0.016121556982398033,0.024375835193859396,0.016693652175606165,8.550437433132563,14.2516223453655,0.01690809614956379,0.015264460816979408
TMO,1668,29,0.02757695390596276,0.020228739827871323,0.03329974467713662,0.02413251975711284,17.18568964014636,0.027761274250007066,0.02050658129155636,0.031246285665409452,0.02257471511507919,11.153362203496698,14.16952592182153,0.019112830981612206,0.017261985689401627
BLK,1668,29,0.029586833306569475,0.02056225575506687,0.03623906794936971,0.025099694421121498,18.356527966155745,0.029582538269445045,0.020950738340616226,0.032821783019953865,0.02259878404095134,9.869191897769646,14.112859931962696,0.01785331405699253,0.016712462529540062
WDAY,1668,29,0.0397608016893311,0.029086505994200706,0.04692838806135826,0.03294777542751188,15.27345529672921,0.03924860727745837,0.02801043912768364,0.0450517269228247,0.03211034685331168,12.881014872764574,14.077235084746892,0.021790942177176476,0.02170300856232643
BKNG,1668,29,0.03487787702509186,0.02520141750574112,0.04252925158687302,0.030400529555752946,17.990851652190408,0.035379365728397026,0.025327177718281746,0.03934397545188638,0.026992565542936907,10.076789846358203,14.033820749274305,0.020772160962224007,0.020817622542381287
FCX,1668,29,0.04998146035648135,0.03711946681141853,0.06080252066152331,0.04423790127579331,17.797058719458114,0.04954510716063675,0.03490482643246651,0.055205231097475625,0.03886224897710792,10.252876084957997,14.024967402208055,0.02342933975160122,0.023343170061707497
AMZN,1668,29,0.03522434527470271,0.026234954595565796,0.041790000611133936,0.03010953381235333,15.711067816261215,0.033840930892965776,0.02431541495025158,0.03858946968069772,0.027058813493262522,12.305270912046618,14.008169364153916,0.023252034559845924,0.02329709194600582
MU,1668,29,0.05300808226545558,0.03928927332162857,0.06405154185195701,0.047122771923138844,17.241520293182468,0.047371846338935694,0.034053340554237366,0.05304406613247419,0.03810472358032729,10.693410605764065,13.967465449473266,0.026259664446115494,0.02596891298890114
